category,type,product_group,brand,product_name,size_mm,size_inch,product_code,length,unit,mrp,selling_price,purchase_price,discount,image_url,is_active
Fittings,CPVC,WYE-STRAINER,Astral,WYE-STRAINER,,,M512110905,,pcs,743,743,,,,true
Fittings,CPVC,BEND,Astral,BEND,,,M512806501,,pcs,81,81,,,,true
Fittings,CPVC,BEND,Astral,BEND,,,M512806502,,pcs,123,123,,,,true
Fittings,CPVC,BEND,Astral,BEND,,,M512806503,,pcs,193,193,,,,true
Fittings,CPVC,BEND,Astral,BEND,,,M512806504,,pcs,207,207,,,,true
Fittings,CPVC,BEND,Astral,BEND,,,M512806505,,pcs,464,464,,,,true
Fittings,CPVC,BEND,Astral,BEND,,,M512806506,,pcs,489,489,,,,true
Fittings,CPVC,(SPIGOT TYPE),Astral,(SPIGOT TYPE),,,M5128010202,,pcs,80,80,,,,true
Fittings,CPVC,(SPIGOT TYPE),Astral,(SPIGOT TYPE),,,M5128010203,,pcs,123,123,,,,true
Fittings,CPVC,(SPIGOT TYPE),Astral,(SPIGOT TYPE),,,M5128010204,,pcs,208,208,,,,true
Fittings,CPVC,(SPIGOT TYPE),Astral,(SPIGOT TYPE),,,M5128010205,,pcs,281,281,,,,true
Fittings,CPVC,(SPIGOT TYPE),Astral,(SPIGOT TYPE),,,M5128010206,,pcs,485,485,,,,true
Fittings,CPVC,(WITH BOTH,Astral,(WITH BOTH,,,M512112801,,pcs,123,123,,,,true
Fittings,CPVC,(WITH BOTH,Astral,(WITH BOTH,,,M512112802,,pcs,224,224,,,,true
Fittings,CPVC,(WITH BOTH,Astral,(WITH BOTH,,,M512112803,,pcs,309,309,,,,true
Fittings,CPVC,(WITH BOTH,Astral,(WITH BOTH,,,M512112804,,pcs,380,380,,,,true
Fittings,CPVC,(WITH BOTH,Astral,(WITH BOTH,,,M512112805,,pcs,956,956,,,,true
Pipes & Tubing,CPVC,Astral Product,Astral,Astral Product,,,M512118501,,pcs,1272,1272,,,,true
Pipes & Tubing,CPVC,Astral Product,Astral,Astral Product,,,M512118502,,pcs,1401,1401,,,,true
Pipes & Tubing,CPVC,Astral Product,Astral,Astral Product,,,M512118503,,pcs,2090,2090,,,,true
Valves,CPVC,(TRIANGLE),Astral,(TRIANGLE),,,M5121110501,,pcs,1272,1272,,,,true
Valves,CPVC,(TRIANGLE),Astral,(TRIANGLE),,,M5121110502,,pcs,1566,1566,,,,true
Valves,CPVC,(TRIANGLE),Astral,(TRIANGLE),,,M5121110503,,pcs,1834,1834,,,,true
Valves,CPVC,(ROUND),Astral,(ROUND),,,M512118601,,pcs,762,762,,,,true
Valves,CPVC,(ROUND),Astral,(ROUND),,,M512118602,,pcs,1003,1003,,,,true
Valves,CPVC,(ROUND),Astral,(ROUND),,,M512118603,,pcs,1963,1963,,,,true
Valves,CPVC,(WHEEL TYPE),Astral,(WHEEL TYPE),,,M5121113102,,pcs,1513,1513,,,,true
Valves,CPVC,(WHEEL TYPE),Astral,(WHEEL TYPE),,,M5121113103,,pcs,1737,1737,,,,true
Valves,CPVC,(WHEEL TYPE),Astral,(WHEEL TYPE),,,M5121113202,,pcs,1277,1277,,,,true
Valves,CPVC,(WHEEL TYPE),Astral,(WHEEL TYPE),,,M5121113203,,pcs,1539,1539,,,,true
Valves,CPVC,(TRIANGLE),Astral,(TRIANGLE),,,M5121113702,,pcs,1582,1582,,,,true
Valves,CPVC,(TRIANGLE),Astral,(TRIANGLE),,,M5121113703,,pcs,1823,1823,,,,true
Valves,CPVC,(TRIANGLE),Astral,(TRIANGLE),,,M5121113802,,pcs,1341,1341,,,,true
Valves,CPVC,(TRIANGLE),Astral,(TRIANGLE),,,M5121113803,,pcs,1650,1650,,,,true
Valves,CPVC,(ROUND),Astral,(ROUND),,,M5121110601,,pcs,1272,1272,,,,true
Valves,CPVC,(ROUND),Astral,(ROUND),,,M5121110602,,pcs,1566,1566,,,,true
Valves,CPVC,(ROUND),Astral,(ROUND),,,M5121110603,,pcs,1834,1834,,,,true
Valves,CPVC,(FLOWER),Astral,(FLOWER),,,M5121113502,,pcs,1600,1600,,,,true
Valves,CPVC,(FLOWER),Astral,(FLOWER),,,M5121113503,,pcs,1852,1852,,,,true
Valves,CPVC,(FLOWER),Astral,(FLOWER),,,M5121113602,,pcs,1350,1350,,,,true
Valves,CPVC,(FLOWER),Astral,(FLOWER),,,M5121113603,,pcs,1590,1590,,,,true
